name,wd,jd
北京,39.90458268,116.4069922
上海,31.23001905,121.4740029
天津,39.08774259,117.2030184
重庆,29.56270394,106.5520165
哈尔滨,45.80321561,126.5350173
长春,43.81621946,125.3239731
沈阳,41.71480451,123.4495474
呼和浩特,40.84252818,111.7489493
石家庄,38.04243233,114.5150078
太原,37.87067027,112.550029
济南,36.65021648,117.119987
郑州,34.74718341,113.6249854
西安,34.34103465,108.9400062
兰州,36.06128343,103.8340172
银川,38.4865412,106.2319911
西宁,36.61713714,101.7780298
乌鲁木齐,43.82454635,87.61801799
合肥,31.82032273,117.2269857
南京,32.05830684,118.7959978
杭州,30.24699643,120.2090252
长沙,28.22879747,112.9389528
南昌,28.68379581,115.8579952
武汉,30.59278632,114.3049856
成都,30.64986287,104.0750113
贵阳,26.647565,106.630007
福州,26.07415545,119.2969919
台北,25.030724,121.520076
广州,23.12909397,113.264986
海口,20.0382631,110.3189704
南宁,22.8162792,108.3669942
昆明,24.86769158,102.8460067
拉萨,29.64406158,91.11430464
香港,22.27811451,114.1600046
澳门,22.18975575,113.5378746
